pairing,firstName,lastName
0,Akshay,Bhatia
1,Jimmy,Walker
1,Si Woo,Kim
2,Kevin,Kisner
2,Shane,Lowry
3,Wilco,Nienaber
3,Fabián,Gómez
4,Edoardo,Molinari
4,Rick,Lamb
5,Jordan,Spieth
5,Paul,Casey
6,Troy,Merritt
6,Taylor,Montgomery
7,Wade,Ormsby
7,J.T.,Poston
8,Ian,Poulter
8,Dylan,Frittelli
9,Gary,Woodland
9,Martin,Kaymer
10,Matt,Fitzpatrick
10,Tommy,Fleetwood
11,Chris,Baker
11,Greyson,Sigg
12,Lanto,Griffin
12,Patrick,Cantlay
13,Patrick,Reed
13,Sergio,Garcia
14,Adam,Scott
14,Hideki,Matsuyama
15,Stewart,Cink
15,Charl,Schwartzel
16,Rafa,Cabrera Bello
16,Phil,Mickelson
17,Francesco,Molinari
17,Jhonattan,Vegas
18,Kyle,Westmoreland
18,Sungjae,Im
19,Dustin,Johnson
19,Marc,Leishman
20,Robert,MacIntyre
20,Joaquin,Niemann
21,Chez,Reavie
21,Daniel,Berger
22,Brian,Harman
22,Dylan,Wu
23,Rikuya,Hoshino
23,Charley,Hoffman
24,Matt,Jones
24,Rory,McIlroy
25,Lee,Westwood
25,Tom,Hoge
26,Adam,Hadwin
26,Brooks,Koepka
27,Justin,Thomas
27,Collin,Morikawa
28,Harris,English
28,Branden,Grace
29,Bryson,DeChambeau
29,Christiaan,Bezuidenhout
30,Patrick,Rodgers
30,Guido,Migliozzi
31,Scottie,Scheffler
31,Xander,Schauffele
32,Mackenzie,Hughes
32,Kevin,Streelman
33,Jon,Rahm
33,Bubba,Watson
34,Matthew,Wolff
34,Louis,Oosthuizen
35,Russell,Henley
35,Richard,Bland
